class_name;project_name;class_id;class_path;sonar_td_minutes;squore_td_minutes;cast_td_minutes;commits_count;code_churn_avg;contributors_count;contributors_experience;hunks_count;issue_tracker_issues;cbo;wmc;dit;rfc;lcom;total_methods;max_nested_blocks;total_variables;total_refactorings;duplicated_lines;comment_lines;ncloc;high-TD
TriggerTypeEnum.java;xxl-job;AW-Z3VGarInABnR0cIXz;xxl-job-admin/src/main/java/com/xxl/job/admin/core/trigger/TriggerTypeEnum.java;5;0;174.6;1;26;1;100;1;0;1;2;1;1;0;2;0;1;0;0;5;16;0
ExecutorRouteRound.java;xxl-job;AW-Z3VGarInABnR0cIXu;xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/strategy/ExecutorRouteRound.java;4;0;656.4;10;4;2;59.6;2.5;0;4;5;2;9;1;2;1;4;19;0;5;27;0
MethodJobHandler.java;xxl-job;AW-Z3VGcrInABnR0cIYf;xxl-job-core/src/main/java/com/xxl/job/core/handler/impl/MethodJobHandler.java;2;0;611.1;2;25;2;58.43;6.5;0;2;7;2;4;0;5;1;4;0;0;3;37;0
CookieInterceptor.java;xxl-job;AW-Z3VGbrInABnR0cIYS;xxl-job-admin/src/main/java/com/xxl/job/admin/controller/interceptor/CookieInterceptor.java;1;0;635.4;7;6;2;57.14;2;0;8;6;2;7;0;1;2;1;4;0;7;28;0
ExecutorRouteFirst.java;xxl-job;AW-Z3VGarInABnR0cIXr;xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/strategy/ExecutorRouteFirst.java;1;0;423.6;7;3;2;73.85;3;0;3;1;2;1;0;1;0;0;8;0;3;11;0
ExecutorRouteLast.java;xxl-job;AW-Z3VGarInABnR0cIXo;xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/strategy/ExecutorRouteLast.java;1;0;423.6;7;3;2;73.02;3;0;3;1;2;2;0;1;0;0;8;0;3;11;0
ExecutorRouteRandom.java;xxl-job;AW-Z3VGarInABnR0cIXn;xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/strategy/ExecutorRouteRandom.java;1;0;452.7;8;3;2;69.57;2;0;3;1;2;3;0;1;0;2;17;0;3;14;0
WebExceptionResolver.java;xxl-job;AW-Z3VGbrInABnR0cIYG;xxl-job-admin/src/main/java/com/xxl/job/admin/controller/resolver/WebExceptionResolver.java;1;27.5;635.4;11;6;2;60.19;2;4;12;5;1;13;0;1;2;6;4;0;8;46;0
XxlJobGroup.java;xxl-job;AW-Z3VGbrInABnR0cIX9;xxl-job-admin/src/main/java/com/xxl/job/admin/core/model/XxlJobGroup.java;1;0;1018.5;8;10;2;76.98;2;4;0;15;1;4;62;13;1;7;16;0;4;55;0
AdminBiz.java;xxl-job;AW-Z3VGdrInABnR0cIY1;xxl-job-core/src/main/java/com/xxl/job/core/biz/AdminBiz.java;0;0;174.6;9;6;2;80.46;1;11;3;3;1;0;3;3;0;0;4;0;23;10;0
AdminBizClient.java;xxl-job;AW-Z3VGdrInABnR0cIYz;xxl-job-core/src/main/java/com/xxl/job/core/biz/client/AdminBizClient.java;0;0;494.7;1;48;1;100;1;1;5;6;1;2;0;5;1;2;0;0;6;32;0
DemoJobHandler.java;xxl-job;AW-Z3VGWrInABnR0cIWL;xxl-job-executor-samples/xxl-job-executor-sample-jboot/src/main/java/com/xuxueli/executor/sample/jboot/jobhandler/DemoJobHandler.java;0;10;452.7;1;32;1;100;1;10;3;2;2;2;0;1;1;1;0;0;10;16;0
DemoJobHandler.java;xxl-job;AW-Z3VGWrInABnR0cIWX;xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xuxueli/executor/sample/frameless/jobhandler/DemoJobHandler.java;0;10;452.7;1;32;1;100;1;10;3;2;2;2;0;1;1;1;0;0;10;16;0
DemoJobHandler.java;xxl-job;AW-Z3VGXrInABnR0cIWj;xxl-job-executor-samples/xxl-job-executor-sample-nutz/src/main/java/com/xuxueli/executor/sample/nutz/jobhandler/DemoJobHandler.java;0;10;452.7;3;11;2;58.06;3;10;3;2;2;2;0;1;1;1;13;0;11;16;0
